,AD/AD,AD/ALS,AD/AnorexiaNervosa,AD/BipolarDisorder,AD/Epilepsy,AD/MajorDepressiveDisorder,AD/MigraineDisorder,AD/MS,AD/OCD,AD/PD,AD/RestlessLeg,AD/SCZ,AD/Tourette,ALS/AD,ALS/ALS,ALS/AnorexiaNervosa,ALS/BipolarDisorder,ALS/Epilepsy,ALS/MajorDepressiveDisorder,ALS/MigraineDisorder,ALS/MS,ALS/OCD,ALS/PD,ALS/RestlessLeg,ALS/SCZ,ALS/Tourette,AnorexiaNervosa/AD,AnorexiaNervosa/ALS,AnorexiaNervosa/AnorexiaNervosa,AnorexiaNervosa/BipolarDisorder,AnorexiaNervosa/Epilepsy,AnorexiaNervosa/MajorDepressiveDisorder,AnorexiaNervosa/MigraineDisorder,AnorexiaNervosa/MS,AnorexiaNervosa/OCD,AnorexiaNervosa/PD,AnorexiaNervosa/RestlessLeg,AnorexiaNervosa/SCZ,AnorexiaNervosa/Tourette,BipolarDisorder/AD,BipolarDisorder/ALS,BipolarDisorder/AnorexiaNervosa,BipolarDisorder/BipolarDisorder,BipolarDisorder/Epilepsy,BipolarDisorder/MajorDepressiveDisorder,BipolarDisorder/MigraineDisorder,BipolarDisorder/MS,BipolarDisorder/OCD,BipolarDisorder/PD,BipolarDisorder/RestlessLeg,BipolarDisorder/SCZ,BipolarDisorder/Tourette,Epilepsy/AD,Epilepsy/ALS,Epilepsy/AnorexiaNervosa,Epilepsy/BipolarDisorder,Epilepsy/Epilepsy,Epilepsy/MajorDepressiveDisorder,Epilepsy/MigraineDisorder,Epilepsy/MS,Epilepsy/OCD,Epilepsy/PD,Epilepsy/RestlessLeg,Epilepsy/SCZ,Epilepsy/Tourette,MajorDepressiveDisorder/AD,MajorDepressiveDisorder/ALS,MajorDepressiveDisorder/AnorexiaNervosa,MajorDepressiveDisorder/BipolarDisorder,MajorDepressiveDisorder/Epilepsy,MajorDepressiveDisorder/MajorDepressiveDisorder,MajorDepressiveDisorder/MigraineDisorder,MajorDepressiveDisorder/MS,MajorDepressiveDisorder/OCD,MajorDepressiveDisorder/PD,MajorDepressiveDisorder/RestlessLeg,MajorDepressiveDisorder/SCZ,MajorDepressiveDisorder/Tourette,MigraineDisorder/AD,MigraineDisorder/ALS,MigraineDisorder/AnorexiaNervosa,MigraineDisorder/BipolarDisorder,MigraineDisorder/Epilepsy,MigraineDisorder/MajorDepressiveDisorder,MigraineDisorder/MigraineDisorder,MigraineDisorder/MS,MigraineDisorder/OCD,MigraineDisorder/PD,MigraineDisorder/RestlessLeg,MigraineDisorder/SCZ,MigraineDisorder/Tourette,MS/AD,MS/ALS,MS/AnorexiaNervosa,MS/BipolarDisorder,MS/Epilepsy,MS/MajorDepressiveDisorder,MS/MigraineDisorder,MS/MS,MS/OCD,MS/PD,MS/RestlessLeg,MS/SCZ,MS/Tourette,OCD/AD,OCD/ALS,OCD/AnorexiaNervosa,OCD/BipolarDisorder,OCD/Epilepsy,OCD/MajorDepressiveDisorder,OCD/MigraineDisorder,OCD/MS,OCD/OCD,OCD/PD,OCD/RestlessLeg,OCD/SCZ,OCD/Tourette,PD/AD,PD/ALS,PD/AnorexiaNervosa,PD/BipolarDisorder,PD/Epilepsy,PD/MajorDepressiveDisorder,PD/MigraineDisorder,PD/MS,PD/OCD,PD/PD,PD/RestlessLeg,PD/SCZ,PD/Tourette,RestlessLeg/AD,RestlessLeg/ALS,RestlessLeg/AnorexiaNervosa,RestlessLeg/BipolarDisorder,RestlessLeg/Epilepsy,RestlessLeg/MajorDepressiveDisorder,RestlessLeg/MigraineDisorder,RestlessLeg/MS,RestlessLeg/OCD,RestlessLeg/PD,RestlessLeg/RestlessLeg,RestlessLeg/SCZ,RestlessLeg/Tourette,SCZ/AD,SCZ/ALS,SCZ/AnorexiaNervosa,SCZ/BipolarDisorder,SCZ/Epilepsy,SCZ/MajorDepressiveDisorder,SCZ/MigraineDisorder,SCZ/MS,SCZ/OCD,SCZ/PD,SCZ/RestlessLeg,SCZ/SCZ,SCZ/Tourette,Tourette/AD,Tourette/ALS,Tourette/AnorexiaNervosa,Tourette/BipolarDisorder,Tourette/Epilepsy,Tourette/MajorDepressiveDisorder,Tourette/MigraineDisorder,Tourette/MS,Tourette/OCD,Tourette/PD,Tourette/RestlessLeg,Tourette/SCZ,Tourette/Tourette
0,0.0,0.0,0.0,52.0,2.0,38.0,3.0,1.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,52.0,0.0,2.0,0.0,0.0,14.0,5.0,4.0,0.0,4.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,38.0,0.0,0.0,14.0,0.0,0.0,1.0,16.0,0.0,8.0,4.0,10.0,0.0,3.0,0.0,0.0,5.0,2.0,1.0,0.0,4.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,16.0,4.0,0.0,0.0,4.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,4.0,1.0,8.0,0.0,4.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,2.0,1.0,4.0,2.0,3.0,1.0,0.0,0.0,12.0,0.0,3.0,0.0,1.0,3.0,1.0,10.0,4.0,3.0,1.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,2.0,1.0,3.0,9.0,2.0,2.0,1.0,4.0,3.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,5.0,1.0,0.0,1.0,0.0,28.0,0.0,3.0,0.0,0.0,1.0,0.0,10.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,9.0,2.0,1.0,2.0,10.0,0.0,11.0,3.0,0.0,3.0,2.0,7.0,4.0,2.0,0.0,0.0,5.0,1.0,11.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,4.0,0.0,0.0,1.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,26.0,0.0,6.0,28.0,1.0,7.0,4.0,7.0,2.0,1.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
2,0.0,0.0,1.0,4.0,7.0,10.0,4.0,19.0,4.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,23.0,6.0,1.0,0.0,0.0,0.0,15.0,1.0,7.0,0.0,0.0,1.0,0.0,38.0,54.0,0.0,0.0,1.0,32.0,3.0,2.0,10.0,0.0,3.0,23.0,38.0,0.0,4.0,6.0,1.0,3.0,2.0,13.0,1.0,4.0,0.0,0.0,6.0,54.0,4.0,0.0,4.0,1.0,2.0,7.0,9.0,1.0,19.0,0.0,4.0,1.0,0.0,6.0,4.0,0.0,0.0,0.0,25.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,9.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,0.0,1.0,0.0,32.0,2.0,7.0,25.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,1.0,15.0,3.0,13.0,9.0,4.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0
3,0.0,0.0,0.0,6.0,3.0,11.0,3.0,0.0,0.0,3.0,4.0,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,18.0,2.0,8.0,1.0,2.0,0.0,2.0,29.0,0.0,3.0,0.0,0.0,18.0,0.0,3.0,8.0,0.0,0.0,4.0,2.0,4.0,0.0,11.0,0.0,1.0,2.0,3.0,0.0,3.0,12.0,0.0,45.0,4.0,49.0,3.0,3.0,0.0,3.0,8.0,8.0,3.0,0.0,5.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,1.0,0.0,12.0,5.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,1.0,1.0,0.0,4.0,45.0,0.0,1.0,0.0,0.0,2.0,11.0,1.0,4.0,0.0,0.0,2.0,2.0,4.0,0.0,4.0,1.0,2.0,0.0,4.0,1.0,27.0,0.0,2.0,29.0,4.0,49.0,4.0,4.0,3.0,11.0,4.0,0.0,4.0,17.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,4.0,0.0
4,0.0,0.0,2.0,11.0,0.0,3.0,9.0,3.0,0.0,4.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,11.0,0.0,1.0,0.0,2.0,7.0,6.0,3.0,0.0,1.0,2.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,2.0,7.0,5.0,0.0,7.0,3.0,1.0,6.0,3.0,10.0,1.0,9.0,0.0,2.0,6.0,1.0,7.0,0.0,6.0,2.0,0.0,7.0,7.0,2.0,3.0,0.0,2.0,3.0,1.0,3.0,6.0,0.0,3.0,3.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,6.0,0.0,4.0,1.0,1.0,1.0,1.0,6.0,0.0,3.0,0.0,0.0,1.0,7.0,3.0,5.0,0.0,0.0,2.0,0.0,3.0,7.0,0.0,0.0,1.0,0.0,7.0,0.0,5.0,0.0,1.0,4.0,3.0,10.0,7.0,11.0,6.0,7.0,7.0,0.0,2.0,1.0,0.0,1.0,4.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,2.0,0.0
5,0.0,6.0,0.0,1.0,5.0,7.0,2.0,6.0,0.0,3.0,2.0,8.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,5.0,2.0,1.0,0.0,1.0,2.0,6.0,1.0,5.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,7.0,0.0,2.0,5.0,4.0,0.0,6.0,9.0,2.0,4.0,7.0,17.0,0.0,2.0,0.0,1.0,2.0,0.0,6.0,0.0,2.0,0.0,3.0,1.0,3.0,1.0,6.0,0.0,1.0,1.0,0.0,9.0,2.0,0.0,0.0,1.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,4.0,3.0,1.0,0.0,0.0,2.0,9.0,0.0,2.0,0.0,2.0,2.0,5.0,7.0,1.0,4.0,1.0,2.0,0.0,8.0,4.0,8.0,0.0,0.0,6.0,1.0,17.0,3.0,6.0,1.0,9.0,8.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0
6,0.0,0.0,0.0,5.0,2.0,18.0,10.0,49.0,1.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0,0.0,1.0,0.0,25.0,2.0,2.0,0.0,5.0,2.0,0.0,5.0,1.0,3.0,0.0,0.0,0.0,11.0,0.0,18.0,0.0,3.0,6.0,5.0,0.0,1.0,8.0,1.0,3.0,3.0,30.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,2.0,3.0,4.0,0.0,49.0,0.0,1.0,1.0,3.0,8.0,6.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,4.0,0.0,0.0,6.0,1.0,6.0,0.0,1.0,25.0,11.0,30.0,4.0,5.0,1.0,5.0,6.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
7,0.0,0.0,0.0,7.0,4.0,11.0,1.0,5.0,0.0,1.0,2.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,10.0,4.0,0.0,13.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,0.0,2.0,3.0,10.0,1.0,11.0,0.0,4.0,4.0,8.0,0.0,3.0,2.0,1.0,4.0,16.0,57.0,0.0,1.0,0.0,1.0,10.0,2.0,3.0,0.0,2.0,0.0,4.0,1.0,1.0,2.0,5.0,0.0,0.0,4.0,1.0,2.0,2.0,0.0,1.0,4.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,13.0,2.0,4.0,4.0,4.0,2.0,0.0,1.0,10.0,1.0,2.0,0.0,4.0,1.0,3.0,16.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,34.0,0.0,0.0,3.0,10.0,57.0,1.0,4.0,1.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0
8,0.0,0.0,1.0,32.0,1.0,4.0,2.0,7.0,0.0,4.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,32.0,0.0,2.0,0.0,1.0,4.0,9.0,5.0,0.0,92.0,3.0,5.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,1.0,0.0,3.0,8.0,6.0,0.0,16.0,23.0,1.0,2.0,0.0,0.0,9.0,0.0,3.0,0.0,3.0,1.0,1.0,9.0,3.0,0.0,7.0,1.0,0.0,5.0,0.0,8.0,3.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,92.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,2.0,1.0,4.0,0.0,4.0,3.0,0.0,16.0,9.0,2.0,1.0,2.0,0.0,8.0,4.0,5.0,0.0,2.0,5.0,4.0,23.0,3.0,3.0,0.0,2.0,8.0,0.0,29.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,29.0,0.0
9,0.0,0.0,0.0,9.0,1.0,20.0,4.0,2.0,1.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,1.0,9.0,1.0,5.0,0.0,0.0,4.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,4.0,0.0,4.0,1.0,20.0,0.0,0.0,4.0,5.0,0.0,4.0,2.0,3.0,6.0,5.0,10.0,2.0,4.0,0.0,0.0,6.0,1.0,4.0,0.0,2.0,0.0,0.0,4.0,6.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,4.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,6.0,0.0,4.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,2.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0,0.0,3.0,0.0,4.0,10.0,6.0,4.0,0.0,2.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
10,0.0,0.0,0.0,0.0,0.0,40.0,2.0,3.0,0.0,2.0,2.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,33.0,1.0,0.0,0.0,18.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,2.0,0.0,2.0,4.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,40.0,0.0,2.0,7.0,1.0,0.0,5.0,5.0,0.0,2.0,16.0,32.0,0.0,2.0,0.0,33.0,2.0,1.0,5.0,0.0,24.0,0.0,6.0,2.0,3.0,0.0,3.0,0.0,1.0,0.0,1.0,5.0,24.0,0.0,0.0,4.0,3.0,21.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,4.0,2.0,2.0,6.0,4.0,0.0,0.0,0.0,36.0,0.0,2.0,0.0,18.0,3.0,1.0,16.0,2.0,3.0,0.0,0.0,0.0,6.0,2.0,16.0,1.0,3.0,3.0,2.0,32.0,3.0,21.0,3.0,36.0,6.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0
11,0.0,0.0,1.0,3.0,2.0,16.0,21.0,6.0,3.0,1.0,3.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,0.0,6.0,16.0,2.0,1.0,0.0,18.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,16.0,0.0,4.0,6.0,1.0,0.0,3.0,48.0,31.0,3.0,10.0,16.0,0.0,21.0,0.0,0.0,16.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,6.0,0.0,6.0,0.0,1.0,2.0,2.0,48.0,1.0,0.0,0.0,2.0,2.0,7.0,1.0,3.0,0.0,0.0,1.0,0.0,31.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,18.0,2.0,10.0,1.0,2.0,1.0,0.0,0.0,11.0,0.0,12.0,0.0,2.0,0.0,1.0,16.0,6.0,7.0,2.0,2.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0
